genome_or_bin	ADK	AICARFT_IMPCHas	ATP-synt	ATP-synt_A	Adenylsucc_synt	Chorismate_synt	EF_TS	Exonuc_VII_L	GrpE	Ham1p_like	IPPT	OSCP	PGK	Pept_tRNA_hydro	RBFA	RNA_pol_L	RNA_pol_Rpb6	RRF	RecO_C	Ribonuclease_P	Ribosom_S12_S23	Ribosomal_L1	Ribosomal_L13	Ribosomal_L14	Ribosomal_L16	Ribosomal_L17	Ribosomal_L18p	Ribosomal_L19	Ribosomal_L2	Ribosomal_L20	Ribosomal_L21p	Ribosomal_L22	Ribosomal_L23	Ribosomal_L27	Ribosomal_L27A	Ribosomal_L28	Ribosomal_L29	Ribosomal_L3	Ribosomal_L32p	Ribosomal_L35p	Ribosomal_L4	Ribosomal_L5	Ribosomal_L6	Ribosomal_L9_C	Ribosomal_S10	Ribosomal_S11	Ribosomal_S13	Ribosomal_S15	Ribosomal_S16	Ribosomal_S17	Ribosomal_S19	Ribosomal_S2	Ribosomal_S20p	Ribosomal_S3_C	Ribosomal_S6	Ribosomal_S7	Ribosomal_S8	Ribosomal_S9	RsfS	RuvX	SecE	SecG	SecY	SmpB	TsaE	UPF0054	YajC	eIF-1a	ribosomal_L24	tRNA-synt_1d	tRNA_m1G_MT
WA_MAG_00015	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1
WA_MAG_00016	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
WA_MAG_00017	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
WA_MAG_00018	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1
WA_MAG_00019	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
WA_MAG_00020	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
WA_MAG_00021	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WA_MAG_00022	1	2	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WA_MAG_00023	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
WA_MAG_00024	1	1	0	1	1	1	1	1	1	1	1	0	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	2	1
WA_MAG_00025	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	2	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	2	1	1	1	1	1	1	1	1	1
WA_MAG_00026	1	1	1	1	2	2	1	1	1	1	3	1	1	1	0	1	1	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
WA_MAG_00027	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	0	1	1	1	2	0	1	1	1	1	1	1	1
WA_MAG_00028	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WA_MAG_00029	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	0	2	0	1	1	0	0	1	1	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	1	0	1	0	0	2	0	1	0
WA_MAG_00030	2	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	2	0	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0
WA_MAG_00031	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0	2	0	0	2	0	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0
WA_MAG_00032	1	2	1	1	1	2	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	0	1	1	1	1
WA_MAG_00033	2	1	1	2	2	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
WA_MAG_00034	0	1	1	1	2	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1
WA_MAG_00035	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	0	1	2	1	1	0
WA_MAG_00036	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	3	1	1	1	1	1	1	1
WA_MAG_00037	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	2	0	2	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	0	1	1	1	1	1	1	1
WA_MAG_00038	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
WA_MAG_00039	1	0	1	1	1	1	1	1	1	0	1	1	2	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1
WA_MAG_00040	1	1	1	1	1	1	1	1	1	2	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	2	1
WA_MAG_00041	1	1	0	0	1	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	1	0	2	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0
WA_MAG_00042	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	2	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	2	1	1	0	1	1	1	0	0	1	1	1	1	1
WA_MAG_00043	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1
WA_MAG_00044	2	1	1	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1
WA_MAG_00045	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0
WA_MAG_00046	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	2	0	2	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	2	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0
WA_MAG_00047	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	2	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	2	0
WA_MAG_00048	1	1	0	0	1	3	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	2	1	1	0	0	0	1	0	0	1	1	0	3	0	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	2	0	0	1	0	1	0	0	0	0	1	0	1	0
WA_MAG_00049	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	2	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1
WA_MAG_00050	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	2	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	2	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
WA_MAG_00051	1	1	1	0	1	2	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	0	1	1	1	2	1	1	1	0	1	2	1	1	1	0	1	0	1	1	1	1	1	1	1
WA_MAG_00052	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	0	1	2	1	1	0	0	1	1	2
WA_MAG_00053	1	1	1	1	1	1	1	0	0	2	1	1	1	1	1	1	1	1	0	3	1	1	1	1	1	1	1	1	2	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
WA_MAG_00054	1	0	1	1	1	1	2	0	1	1	1	1	2	0	1	1	1	0	0	2	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	2	1
WA_MAG_00055	0	0	1	1	0	0	1	0	1	2	1	1	2	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	2	1
WA_MAG_00056	1	1	1	1	0	2	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1
WA_MAG_00057	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	0	2	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1
WA_MAG_00058	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	0	1	3	1	1	0	2	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1
WA_MAG_00059	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0	2	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0
WA_MAG_00060	1	0	1	1	1	1	1	0	2	1	1	1	1	0	1	2	0	1	0	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	1
WA_MAG_00061	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	0	2	0	1	1	0	0	2	1	1	0	1	1	1	1	0	1	1	1	0	1	0	2	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0
WA_MAG_00062	1	1	0	0	1	1	0	1	2	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0	2	0
WA_MAG_00063	1	0	1	0	2	1	0	1	2	0	1	0	2	1	1	1	0	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	0	1	0
WA_MAG_00064	1	2	0	0	1	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	2	1	1	0	2	1	1	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0
WA_MAG_00065	1	1	0	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	0	2	0	1	0	0	0	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0
WA_MAG_00066	1	2	1	1	0	2	0	1	0	1	0	2	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	2	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1
WA_MAG_00067	1	0	0	0	1	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
WA_MAG_00068	1	2	1	1	1	1	2	0	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	2	0
WA_MAG_00069	0	0	2	0	1	1	1	1	0	0	1	2	1	1	1	2	0	1	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1
WA_MAG_00070	1	1	1	1	1	1	1	2	0	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1	1	1	1	1	1	2
WA_MAG_00071	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	1	0	1	2	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	2	1	1	0	1	1	0	1	1	0	1	1	1	2	1	1	1	1	1	0
WA_MAG_00072	2	0	0	0	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	2	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1
WA_MAG_00073	1	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	2	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1
WA_MAG_00074	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	0	1	0	0	1	1	1	1	1	2	1	0	1	1	1	2	1	0	0	1	1	1	2	1	1	1	0	1
