gene_name	mag_id	e_value	gene_callers_id	length
Ribosomal_S8	WA_MAG_00002	2.7e-48	1135904	399
Ribosomal_L6	WA_MAG_00002	1e-33	1135905	534
SecY	WA_MAG_00002	5.8e-115	1135910	1335
Ribosomal_S13	WA_MAG_00002	1.3e-35	1135912	369
Ribosomal_S11	WA_MAG_00002	2.8e-51	1135913	396
Ribosomal_L1	WA_MAG_00002	3.6e-56	1662040	693
Ribosom_S12_S23	WA_MAG_00002	4.4e-46	1662045	372
Ribosomal_S7	WA_MAG_00002	4.2e-69	1662046	471
Adenylsucc_synt	WA_MAG_00003	1e-174	175281	1320
tRNA-synt_His	WA_MAG_00003	3.5e-91	175282	954
tRNA-synt_1c	WA_MAG_00003	2.3e-103	175301	1371
Ribosomal_L1	WA_MAG_00003	7.8e-57	900018	696
AdoHcyase	WA_MAG_00003	3.6e-125	1090183	1386
tRNA-synt_His	WA_MAG_00003	5.4e-48	1448908	1266
Ribosomal_S15	WA_MAG_00003	6.9e-39	244191	261
Ribosomal_S7	WA_MAG_00003	1.2e-67	422796	468
Ribosom_S12_S23	WA_MAG_00003	3.7e-43	422797	375
Ribosomal_S9	WA_MAG_00003	2.5e-48	1307253	396
Ribosomal_L13	WA_MAG_00003	9.5e-59	1307254	504
NDK	WA_MAG_00003	6.1e-60	447133	426
RNA_pol_Rpb6	WA_MAG_00003	2.1e-17	447155	339
Ribosomal_L3	WA_MAG_00003	3.7e-17	1338827	858
Ribosomal_L4	WA_MAG_00003	1.3e-58	1338828	615
Ribosomal_L23	WA_MAG_00003	2e-32	1338829	291
Ribosomal_S19	WA_MAG_00003	5.6e-38	1338831	270
Ribosomal_L22	WA_MAG_00003	1e-35	1338832	333
Ribosomal_L16	WA_MAG_00003	2.9e-50	1338834	411
Ribosomal_L29	WA_MAG_00003	1e-20	1338835	189
Ribosomal_S17	WA_MAG_00003	1.4e-30	1338836	267
Ribosomal_L14	WA_MAG_00003	3e-55	1338837	369
Ribosomal_S8	WA_MAG_00003	9.3e-52	1338841	390
Ribosomal_L6	WA_MAG_00003	3.8e-40	1338842	546
SecY	WA_MAG_00003	6.2e-117	1338847	1302
Ribosomal_S13	WA_MAG_00003	1.4e-34	1338848	354
Ribosomal_S11	WA_MAG_00003	3.5e-50	1338849	387
Rib_5-P_isom_A	WA_MAG_00003	1.2e-60	1338888	663
Ham1p_like	WA_MAG_00003	1.3e-62	1338889	597
tRNA-synt_1d	WA_MAG_00003	2.9e-31	834383	1701
RNase_HII	WA_MAG_00003	3.3e-42	834407	558
TIM	WA_MAG_00003	3.7e-96	834481	747
Ribosomal_S2	WA_MAG_00003	2.7e-91	330076	930
tRNA-synt_1c	WA_MAG_00004	2.2e-96	11755	1491
Adenylsucc_synt	WA_MAG_00004	3e-168	897178	1281
RNase_HII	WA_MAG_00004	4.5e-44	1429414	591
tRNA-synt_1c	WA_MAG_00004	1.2e-95	1440111	1683
HMG-CoA_red	WA_MAG_00004	1.6e-99	1615988	1308
Ribosomal_S15	WA_MAG_00004	4e-34	420862	270
Ribosomal_L1	WA_MAG_00004	2.7e-54	1478680	690
AdoHcyase	WA_MAG_00004	2.5e-63	1145577	357
TIM	WA_MAG_00004	9.3e-99	804707	783
tRNA-synt_1d	WA_MAG_00004	3.7e-44	454493	1782
Ham1p_like	WA_MAG_00004	2.8e-55	1519800	576
tRNA-synt_His	WA_MAG_00004	1e-35	1519811	1383
NDK	WA_MAG_00004	2.4e-35	483860	279
Ribosom_S12_S23	WA_MAG_00004	2.5e-28	839426	231
Ribosomal_S7	WA_MAG_00004	4.1e-64	839427	477
Ribosomal_L3	WA_MAG_00004	2e-19	839430	618
Ribosomal_L4	WA_MAG_00004	4.4e-65	839431	633
Ribosomal_L23	WA_MAG_00004	1.2e-28	839432	291
Ribosomal_S19	WA_MAG_00004	5.2e-39	839434	279
Ribosomal_L22	WA_MAG_00004	1.1e-29	839435	417
Ribosomal_L16	WA_MAG_00004	6.7e-53	839437	423
Ribosomal_L29	WA_MAG_00004	5.9e-20	839438	192
Ribosomal_S17	WA_MAG_00004	2.2e-32	839439	258
Ribosomal_L14	WA_MAG_00004	4.2e-58	839440	369
Ribosomal_S8	WA_MAG_00004	7.1e-53	839444	399
Ribosomal_L6	WA_MAG_00004	6.4e-36	839445	543
SecY	WA_MAG_00004	1.1e-107	839450	1344
Ribosomal_S13	WA_MAG_00004	1.7e-32	839452	375
Ribosomal_S11	WA_MAG_00004	7.6e-46	839453	393
Ribosomal_S2	WA_MAG_00004	1.2e-89	839867	903
Ribosomal_S9	WA_MAG_00004	2.1e-52	839868	387
Ribosomal_L13	WA_MAG_00004	8.6e-58	839869	456
RNA_pol_Rpb6	WA_MAG_00004	4e-10	676539	327
AdoHcyase	WA_MAG_00004	1.5e-100	332013	1098
NDK	WA_MAG_00005	1.3e-49	701704	396
Ribosomal_S11	WA_MAG_00005	9.2e-47	1409793	384
Ribosomal_S13	WA_MAG_00005	7.1e-33	1409794	369
SecY	WA_MAG_00005	6.1e-104	1409797	1338
Ribosomal_L6	WA_MAG_00005	4.1e-39	1409802	552
Ribosomal_S8	WA_MAG_00005	5.7e-52	1409803	399
Ribosomal_L14	WA_MAG_00005	1.1e-59	1409807	369
Ribosomal_S17	WA_MAG_00005	1.4e-33	1409808	270
Ribosomal_L29	WA_MAG_00005	3e-17	1409809	210
Ribosomal_L16	WA_MAG_00005	1.5e-52	1409810	423
Ribosomal_L22	WA_MAG_00005	2.2e-28	1409812	399
Ribosomal_S19	WA_MAG_00005	7.8e-39	1409813	276
Ribosomal_L23	WA_MAG_00005	1.7e-30	1409815	294
Ribosomal_L4	WA_MAG_00005	3.8e-60	1409816	627
Ribosomal_L3	WA_MAG_00005	8.9e-22	1409817	630
Ribosomal_S7	WA_MAG_00005	7.3e-61	1409820	468
Ribosom_S12_S23	WA_MAG_00005	6.1e-44	1409821	378
Ribosomal_S15	WA_MAG_00005	1e-32	359601	273
TIM	WA_MAG_00005	1.3e-85	359642	756
RNA_pol_Rpb6	WA_MAG_00005	6.9e-09	1447332	339
tRNA-synt_1c	WA_MAG_00005	7e-107	1273170	1668
Ham1p_like	WA_MAG_00005	3.4e-62	1632110	621
tRNA-synt_1d	WA_MAG_00005	1.4e-47	71369	1767
tRNA-synt_His	WA_MAG_00005	3.5e-40	250703	1377
Ribosomal_L1	WA_MAG_00005	5.2e-55	87749	693
AdoHcyase	WA_MAG_00005	7.2e-138	267073	1320
Adenylsucc_synt	WA_MAG_00005	1.4e-168	112321	1284
Ribosomal_L13	WA_MAG_00005	7.6e-61	1368262	447
Ribosomal_S9	WA_MAG_00005	3e-49	1368263	387
Ribosomal_S2	WA_MAG_00005	2.1e-90	1368264	789
RNase_HII	WA_MAG_00005	1.2e-46	672617	582
tRNA-synt_1c	WA_MAG_00005	5.7e-95	1580563	1605
AdoHcyase	WA_MAG_00006	7.5e-139	1063603	1350
Ribosomal_L1	WA_MAG_00006	2.4e-56	1596685	690
HMG-CoA_red	WA_MAG_00006	1.1e-96	1251270	1320
tRNA-synt_1c	WA_MAG_00006	1.3e-94	748275	1311
tRNA-synt_1d	WA_MAG_00006	5e-45	223237	1809
RNase_HII	WA_MAG_00006	7.1e-41	1317347	597
Ribosomal_L13	WA_MAG_00006	2.5e-55	1523373	456
Ribosomal_S9	WA_MAG_00006	9.3e-51	1523374	387
Ribosomal_S2	WA_MAG_00006	1.5e-92	1523375	870
RNA_pol_Rpb6	WA_MAG_00006	2.6e-08	844246	330
Ham1p_like	WA_MAG_00006	1.4e-65	668260	585
Ribosom_S12_S23	WA_MAG_00006	5.4e-47	1726229	375
Ribosomal_S7	WA_MAG_00006	1.1e-64	1726230	477
Ribosomal_L3	WA_MAG_00006	1.4e-21	1726233	618
Ribosomal_L4	WA_MAG_00006	1.5e-62	1726234	627
Ribosomal_L23	WA_MAG_00006	1.6e-31	1726235	291
Ribosomal_S19	WA_MAG_00006	7e-39	1726237	279
Ribosomal_L22	WA_MAG_00006	1.8e-30	1726238	405
Ribosomal_L16	WA_MAG_00006	6.9e-52	1726240	420
Ribosomal_L29	WA_MAG_00006	2.7e-18	1726241	198
Ribosomal_S17	WA_MAG_00006	7.4e-31	1726242	258
Ribosomal_L14	WA_MAG_00006	2.9e-57	1726243	369
Ribosomal_S8	WA_MAG_00006	1.8e-50	1726247	402
Ribosomal_L6	WA_MAG_00006	4.7e-37	1726248	543
SecY	WA_MAG_00006	5.3e-109	1726253	1350
Ribosomal_S13	WA_MAG_00006	6.9e-35	1726255	375
Ribosomal_S11	WA_MAG_00006	1.7e-46	1726256	384
NDK	WA_MAG_00006	1.2e-51	1378511	396
Adenylsucc_synt	WA_MAG_00006	5.7e-167	1378521	1275
TIM	WA_MAG_00006	3.9e-93	1385919	747
tRNA-synt_His	WA_MAG_00006	9.5e-49	1037435	1371
tRNA-synt_1c	WA_MAG_00006	2e-91	342916	1512
tRNA-synt_1c	WA_MAG_00006	4.2e-38	342918	1140
RNA_pol_Rpb6	WA_MAG_00007	1.6e-10	16185	333
AdoHcyase	WA_MAG_00007	1.4e-138	1599758	1365
NDK	WA_MAG_00007	1.7e-52	18063	420
tRNA-synt_1d	WA_MAG_00007	5.8e-43	210014	1788
Ribosomal_S11	WA_MAG_00007	2.9e-46	210024	393
Ribosomal_S13	WA_MAG_00007	2.1e-35	210025	375
SecY	WA_MAG_00007	8.3e-108	210027	1344
Ribosomal_L6	WA_MAG_00007	1.7e-37	210032	543
Ribosomal_S8	WA_MAG_00007	7.3e-51	210033	402
Ribosomal_L14	WA_MAG_00007	1.5e-59	210037	369
Ribosomal_S17	WA_MAG_00007	1.6e-32	210038	258
Ribosomal_L29	WA_MAG_00007	2.9e-19	210039	192
Ribosomal_L16	WA_MAG_00007	5e-52	210040	420
Ribosomal_L22	WA_MAG_00007	4.3e-30	210042	408
Ribosomal_S19	WA_MAG_00007	2.3e-39	210043	279
Ribosomal_L23	WA_MAG_00007	3.8e-31	210045	291
Ribosomal_L4	WA_MAG_00007	1.3e-63	210046	630
Ribosomal_L3	WA_MAG_00007	1.5e-21	210047	612
Ribosomal_S7	WA_MAG_00007	2.2e-63	210051	477
Ribosom_S12_S23	WA_MAG_00007	3.9e-46	210052	375
tRNA-synt_1c	WA_MAG_00007	3.3e-73	917446	1236
Ribosomal_S15	WA_MAG_00007	1.7e-33	571741	270
tRNA-synt_1c	WA_MAG_00007	9.1e-09	226538	699
tRNA-synt_1c	WA_MAG_00007	1e-93	1642095	915
Ribosomal_L13	WA_MAG_00007	4e-59	1651338	456
Ribosomal_S9	WA_MAG_00007	4.2e-53	1651339	387
Ribosomal_S2	WA_MAG_00007	3e-91	1651340	891
tRNA-synt_His	WA_MAG_00007	5.9e-08	603291	339
tRNA-synt_His	WA_MAG_00007	1.2e-32	606285	1083
RNase_HII	WA_MAG_00007	2.4e-40	93750	600
Adenylsucc_synt	WA_MAG_00007	1.2e-170	1680341	1272
Ribosomal_L1	WA_MAG_00007	2.4e-53	1685925	696
Ham1p_like	WA_MAG_00007	4.2e-61	862080	597
TIM	WA_MAG_00007	2.6e-93	872936	762
HMG-CoA_red	WA_MAG_00007	3.4e-94	698351	1368
tRNA-synt_1c	WA_MAG_00008	6.3e-77	525660	1341
SecY	WA_MAG_00008	1.7e-108	2333	1221
Ribosomal_L6	WA_MAG_00008	1.2e-36	2338	534
Ribosomal_S8	WA_MAG_00008	2.3e-48	2339	399
Ribosomal_L14	WA_MAG_00008	3.1e-58	2343	369
Ribosomal_S17	WA_MAG_00008	2.1e-32	2344	246
Ribosomal_L29	WA_MAG_00008	5e-27	2345	216
Ribosomal_L16	WA_MAG_00008	3.2e-51	2346	420
Ribosomal_L22	WA_MAG_00008	2.3e-33	2348	378
Ribosomal_S19	WA_MAG_00008	2.1e-39	2349	276
Ribosomal_L23	WA_MAG_00008	3.3e-33	2351	327
Ribosomal_L4	WA_MAG_00008	1.2e-61	2352	630
Ribosomal_L3	WA_MAG_00008	2.3e-14	2353	834
Ribosomal_L13	WA_MAG_00008	2.2e-56	535275	468
Ribosomal_S9	WA_MAG_00008	1.2e-48	535276	516
Ribosomal_S15	WA_MAG_00008	4.1e-36	744732	270
Ribosomal_L1	WA_MAG_00008	5.4e-56	47814	690
Ribosom_S12_S23	WA_MAG_00008	6.7e-43	47819	303
Ribosomal_S7	WA_MAG_00008	3.3e-69	47820	471
tRNA-synt_1d	WA_MAG_00008	1.4e-15	50159	1725
tRNA-synt_1c	WA_MAG_00008	1.4e-40	1634661	858
Ribosomal_S11	WA_MAG_00008	4.7e-53	595918	396
Ribosomal_S13	WA_MAG_00008	3.2e-34	595919	369
SecY	WA_MAG_00008	1.6e-17	595921	258
AdoHcyase	WA_MAG_00008	6.4e-144	437791	1395
RNase_HII	WA_MAG_00008	6.8e-35	1167222	657
Ham1p_like	WA_MAG_00008	3.5e-57	1697596	612
NDK	WA_MAG_00008	5.7e-56	645550	423
tRNA-synt_1c	WA_MAG_00008	2.4e-91	304582	1371
Ribosomal_S2	WA_MAG_00008	7.7e-93	304598	885
RNA_pol_Rpb6	WA_MAG_00008	6.9e-15	304616	411
Adenylsucc_synt	WA_MAG_00008	1.8e-175	1732512	1293
TIM	WA_MAG_00008	2.5e-74	1227849	744
Ribosomal_S15	WA_MAG_00009	3.4e-38	1233267	279
RNase_HII	WA_MAG_00009	2.4e-32	1233274	1029
RNase_HII	WA_MAG_00009	1.7e-29	1233275	732
Ribosomal_L1	WA_MAG_00009	1.1e-53	1233280	705
Ribosomal_S2	WA_MAG_00009	2.1e-84	1423220	816
NDK	WA_MAG_00009	8.9e-49	1247921	405
tRNA-synt_1d	WA_MAG_00009	3.6e-95	1247959	1779
tRNA-synt_His	WA_MAG_00009	1.9e-50	1425388	1341
tRNA-synt_1c	WA_MAG_00009	4.4e-39	1077736	780
Ham1p_like	WA_MAG_00009	1.5e-56	916103	606
Ribosomal_S11	WA_MAG_00009	3.2e-42	928117	525
Ribosomal_S13	WA_MAG_00009	2.9e-37	928118	363
SecY	WA_MAG_00009	1.1e-109	928120	1515
Ribosomal_L6	WA_MAG_00009	2.6e-34	928124	537
Ribosomal_S8	WA_MAG_00009	1.2e-44	928125	399
Ribosomal_L14	WA_MAG_00009	3.3e-51	928129	363
Ribosomal_S17	WA_MAG_00009	1.5e-28	928130	279
Ribosomal_L29	WA_MAG_00009	1e-23	928131	207
Ribosomal_L16	WA_MAG_00009	2e-51	928132	417
Ribosomal_L22	WA_MAG_00009	1.6e-33	928134	336
Ribosomal_S19	WA_MAG_00009	7.1e-37	928136	267
Ribosomal_L23	WA_MAG_00009	8.6e-29	928138	291
Ribosomal_L4	WA_MAG_00009	7.6e-55	928139	639
Ribosomal_L3	WA_MAG_00009	2.1e-24	928140	645
Ribosomal_S7	WA_MAG_00009	1.1e-63	928143	474
Ribosom_S12_S23	WA_MAG_00009	3.3e-42	928144	375
AdoHcyase	WA_MAG_00009	2.5e-152	586715	1533
tRNA-synt_1c	WA_MAG_00009	2e-99	586719	1668
tRNA-synt_1c	WA_MAG_00009	3.6e-76	972627	1365
Adenylsucc_synt	WA_MAG_00009	1.8e-74	1510354	1551
Ribosomal_S9	WA_MAG_00009	3.8e-43	289956	402
Ribosomal_L13	WA_MAG_00009	2e-54	289957	426
RNA_pol_Rpb6	WA_MAG_00009	3.4e-08	289959	279
TIM	WA_MAG_00009	1.1e-95	1009109	771
Ribosomal_L26	WA_MAG_00010	1.4e-21	1851	468
Ribosomal_L13	WA_MAG_00010	5.4e-06	707373	480
Ribosomal_L15e	WA_MAG_00010	1.6e-87	1238119	561
Ribosomal_L3	WA_MAG_00010	1.4e-19	1238134	573
Diphthamide_syn	WA_MAG_00010	4e-119	883826	1149
tRNA-synt_1c	WA_MAG_00010	1.8e-108	1597278	2319
RNA_pol_Rpb4	WA_MAG_00010	5.6e-19	1071457	468
Adenylsucc_synt	WA_MAG_00010	1.1e-174	1600032	1257
Ribosomal_L1	WA_MAG_00010	4.5e-46	718947	669
Ribosomal_L22	WA_MAG_00010	2.3e-23	1429816	678
TruD	WA_MAG_00010	4.5e-85	548796	2010
Ribosomal_L23	WA_MAG_00010	2.9e-16	724775	279
Prefoldin	WA_MAG_00010	9.4e-27	1255593	468
TIM	WA_MAG_00010	5.2e-85	25958	687
tRNA-synt_1c	WA_MAG_00010	1.2e-106	1613719	2298
tRNA-synt_1d	WA_MAG_00010	1.2e-09	1443693	1476
tRNA-synt_1d	WA_MAG_00010	6.5e-16	1443695	720
tRNA-synt_1c	WA_MAG_00010	3.3e-106	915816	1746
NDK	WA_MAG_00010	2.7e-53	1620836	435
PTH2	WA_MAG_00010	3.7e-24	213987	414
PTH2	WA_MAG_00010	8.6e-40	740974	771
RNA_pol_Rpb4	WA_MAG_00010	6e-21	1627302	444
Ribosomal_S15	WA_MAG_00010	1.6e-31	1627334	558
Ribosomal_S9	WA_MAG_00010	8.9e-29	571267	378
DNA_primase_lrg	WA_MAG_00010	1.7e-36	1101940	1566
FbpA	WA_MAG_00010	9.6e-86	1102017	2106
Prefoldin	WA_MAG_00010	2.8e-10	924308	531
Archease	WA_MAG_00010	5.2e-41	1277775	744
Ribosomal_L21e	WA_MAG_00010	3.5e-42	1630456	507
Ham1p_like	WA_MAG_00010	1.2e-59	397581	582
Ribosomal_L22	WA_MAG_00010	1.4e-25	925983	330
Ribosomal_S9	WA_MAG_00010	4.7e-46	1459029	774
Diphthamide_syn	WA_MAG_00010	3.2e-71	1285851	1554
V_ATPase_I	WA_MAG_00010	1.6e-13	229840	255
Ribosomal_L14	WA_MAG_00010	2.7e-24	1468301	246
NDK	WA_MAG_00010	9.2e-46	235249	417
Ribosomal_S13	WA_MAG_00010	1.4e-30	1469482	369
Ribosomal_L4	WA_MAG_00010	2.7e-59	237368	813
Ribosomal_L6	WA_MAG_00010	1.5e-28	941509	435
Ribosomal_S24e	WA_MAG_00010	1.1e-29	941533	378
Ribosomal_L5e	WA_MAG_00010	7.3e-71	413991	777
Ribosomal_S8e	WA_MAG_00010	4e-50	1472551	783
Ribosomal_L16	WA_MAG_00010	3e-34	416332	546
Ribosomal_L3	WA_MAG_00010	1.3e-165	1298653	1110
Ham1p_like	WA_MAG_00010	1.3e-39	1660695	747
Ribosomal_L29	WA_MAG_00010	2.3e-13	782575	465
RNA_pol_L_2	WA_MAG_00010	5.9e-30	1315518	309
DNA_primase_lrg	WA_MAG_00010	9.5e-63	1140673	1569
Prefoldin	WA_MAG_00010	2.7e-27	86559	399
NDK	WA_MAG_00010	5.5e-29	1494607	861
Ribosomal_S3Ae	WA_MAG_00010	2.8e-73	614215	603
Ribosomal_S15	WA_MAG_00010	1.9e-22	439940	195
RtcB	WA_MAG_00010	2.6e-151	1154859	1830
Ribosomal_L4	WA_MAG_00010	2.4e-23	978925	351
Ribosomal_S15	WA_MAG_00010	2.2e-16	451581	363
Ribosomal_L13	WA_MAG_00010	7.9e-45	981381	639
Rib_5-P_isom_A	WA_MAG_00010	1.4e-66	984185	753
Ribosomal_S19e	WA_MAG_00010	2.2e-46	1687653	339
RNA_pol_N	WA_MAG_00010	2e-33	632348	216
Ribosomal_L4	WA_MAG_00010	5.9e-23	808057	864
SecY	WA_MAG_00010	1e-60	1166901	1671
Ribosomal_S8e	WA_MAG_00010	3.1e-39	1692561	543
Ribosomal_S19	WA_MAG_00010	1.4e-32	461170	465
Ribosomal_L1	WA_MAG_00010	8.1e-49	461176	975
Ribosomal_L1	WA_MAG_00010	2.2e-51	290314	804
ATP-synt_D	WA_MAG_00010	3.1e-68	467301	807
Ribosomal_L13	WA_MAG_00010	4.3e-42	292435	636
Ribosomal_S17e	WA_MAG_00010	9.9e-29	1349988	237
Rib_5-P_isom_A	WA_MAG_00010	1.9e-10	1700796	951
Ribosomal_L32e	WA_MAG_00010	4.1e-34	1701786	246
Ham1p_like	WA_MAG_00010	7.8e-20	1178540	648
vATP-synt_E	WA_MAG_00010	8.5e-57	823881	678
tRNA-synt_His	WA_MAG_00010	2.1e-48	648679	1608
NDK	WA_MAG_00010	7.9e-11	1355053	1002
V_ATPase_I	WA_MAG_00010	1.1e-268	1531941	2445
Ribosomal_S13	WA_MAG_00010	7.1e-54	1534457	435
Ribosomal_S17	WA_MAG_00010	7.2e-32	1358851	372
Ribosomal_S7	WA_MAG_00010	6.2e-40	304889	495
Ham1p_like	WA_MAG_00010	2e-13	304891	990
Ribosomal_L39	WA_MAG_00010	4.4e-15	1188293	363
Ribosomal_S2	WA_MAG_00010	3.2e-27	1188299	882
Ribosomal_L1	WA_MAG_00010	1e-56	1021539	723
SecY	WA_MAG_00010	4.4e-74	1726653	915
SecY	WA_MAG_00010	1.6e-19	1726654	714
Ribosomal_S17	WA_MAG_00010	4.2e-24	1202716	375
AdoHcyase	WA_MAG_00010	2.1e-137	322667	1374
Ribosomal_L6	WA_MAG_00010	1.2e-21	1556761	576
FbpA	WA_MAG_00010	5.3e-32	1381314	3201
RNA_pol_Rpb6	WA_MAG_00010	1.8e-17	1381850	435
Ribosomal_L3	WA_MAG_00010	3.1e-26	501571	996
Ribosomal_L23	WA_MAG_00010	2.3e-17	854020	342
TIM	WA_MAG_00010	1.8e-64	1561056	1542
Prefoldin	WA_MAG_00010	1.2e-10	330891	975
RNase_HII	WA_MAG_00010	5.3e-40	1390865	954
Ribosomal_L22	WA_MAG_00010	3.6e-40	1221993	552
tRNA-synt_His	WA_MAG_00010	3.1e-44	523745	1200
tRNA-synt_1c	WA_MAG_00011	7e-54	3215	852
SecY	WA_MAG_00011	9.3e-104	528956	1398
Ribosomal_S13	WA_MAG_00011	8.7e-34	528959	363
Ribosomal_S11	WA_MAG_00011	1.3e-47	528960	570
RNase_HII	WA_MAG_00011	1e-16	1595736	459
Ribosomal_S2	WA_MAG_00011	3e-94	364533	846
Adenylsucc_synt	WA_MAG_00011	3.9e-178	906465	1272
tRNA-synt_1c	WA_MAG_00011	1.3e-106	1458268	1665
TIM	WA_MAG_00011	2.2e-95	233049	813
tRNA-synt_1d	WA_MAG_00011	5.5e-107	603348	1743
RNA_pol_Rpb6	WA_MAG_00011	8.1e-07	1136780	222
Ribosomal_S15	WA_MAG_00011	3e-34	1670446	258
NDK	WA_MAG_00011	3.8e-48	1151351	417
RNase_HII	WA_MAG_00011	4.6e-22	1695597	618
Ribosomal_L1	WA_MAG_00011	2.2e-29	1001242	399
Ribosomal_L6	WA_MAG_00011	2.9e-37	1188173	540
Ribosomal_S8	WA_MAG_00011	2.1e-49	1188174	384
Ribosomal_L14	WA_MAG_00011	2.1e-52	1188178	366
Ribosomal_S17	WA_MAG_00011	4.2e-30	1188179	273
Ribosomal_L29	WA_MAG_00011	4.9e-21	1188180	210
Ribosomal_L16	WA_MAG_00011	2.5e-44	1188181	378
Ribosomal_L22	WA_MAG_00011	2.1e-33	1188183	336
Ribosomal_S19	WA_MAG_00011	1.1e-37	1188184	279
Ribosomal_L23	WA_MAG_00011	1.2e-28	1188186	279
Ribosomal_L4	WA_MAG_00011	1.8e-66	1188187	624
Ribosomal_L3	WA_MAG_00011	6.3e-22	1188188	645
Ribosomal_S7	WA_MAG_00011	7.6e-61	1544128	474
Ribosom_S12_S23	WA_MAG_00011	4.5e-43	1544129	381
RNase_HII	WA_MAG_00011	3.1e-38	1040182	657
Ribosomal_S9	WA_MAG_00011	7.8e-51	1395931	396
Ribosomal_L13	WA_MAG_00011	5.9e-56	1395932	435
AdoHcyase	WA_MAG_00011	5.2e-151	347294	1437
tRNA-synt_1c	WA_MAG_00011	1.4e-79	1053088	1359
Ribosomal_S9	WA_MAG_00012	6.3e-46	352382	399
Ribosomal_L13	WA_MAG_00012	6.2e-58	352383	453
Ribosomal_S11	WA_MAG_00012	1.6e-51	352388	399
Ribosomal_S13	WA_MAG_00012	8.5e-37	352389	378
