genome_or_bin	ATP-synt_D	ATP-synt_F	Adenylsucc_synt	AdoHcyase	Archease	CTP-dep_RFKase	CarS-like	DNA_primase_lrg	DUF357	DUF359	DUF655	Diphthamide_syn	FbpA	HMG-CoA_red	Ham1p_like	NDK	PPS_PS	PTH2	Prefoldin	PyrI	RNA_pol_L_2	RNA_pol_N	RNA_pol_Rpb4	RNA_pol_Rpb6	RNase_HII	Rib_5-P_isom_A	Ribosom_S12_S23	Ribosomal_L1	Ribosomal_L13	Ribosomal_L14	Ribosomal_L15e	Ribosomal_L16	Ribosomal_L21e	Ribosomal_L22	Ribosomal_L23	Ribosomal_L26	Ribosomal_L29	Ribosomal_L3	Ribosomal_L31e	Ribosomal_L32e	Ribosomal_L37ae	Ribosomal_L39	Ribosomal_L4	Ribosomal_L44	Ribosomal_L5e	Ribosomal_L6	Ribosomal_S11	Ribosomal_S13	Ribosomal_S15	Ribosomal_S17	Ribosomal_S17e	Ribosomal_S19	Ribosomal_S19e	Ribosomal_S2	Ribosomal_S24e	Ribosomal_S27e	Ribosomal_S28e	Ribosomal_S3Ae	Ribosomal_S7	Ribosomal_S8	Ribosomal_S8e	Ribosomal_S9	RtcB	SecY	Spt4	TIM	Trm56	TruD	V_ATPase_I	dsDNA_bind	eIF-6	tRNA-synt_1c	tRNA-synt_1d	tRNA-synt_His	vATP-synt_AC39	vATP-synt_E
WA_MAG_00016	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	3	0	2	0	0
WA_MAG_00017	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	2	0	0	0	0	0	1	1	1	0	0
WA_MAG_00018	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	3	1	1	0	0
WA_MAG_00019	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	2	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	2	0	0	0	0	0	2	2	4	0	0
WA_MAG_00020	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	0	3	1	2	0	0
WA_MAG_00021	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	2	0	2	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	2	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	2	1	1	0	0
WA_MAG_00022	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	2	1	1	0	0
WA_MAG_00023	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	2	1	0	1	0	1	0	1	0	1	0	0	0	3	1	2	0	0
WA_MAG_00024	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	3	2	2	0	0
WA_MAG_00025	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	2	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	2	1	0	0	0	1	0	2	0	1	0	0	0	2	1	2	0	0
WA_MAG_00026	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	2	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	3	0	2	0	0
WA_MAG_00027	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	2	1	0	1	0	1	0	0	0	0	1	1	0	1	0	2	0	1	0	0	0	0	0	3	1	1	0	0
WA_MAG_00028	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	2	1	1	0	0
WA_MAG_00029	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
WA_MAG_00030	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	2	1	0	0	1	1	1	1	1
WA_MAG_00031	1	1	1	0	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	0	1	1	1	1	1	1
WA_MAG_00032	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	2	0	1	0	1	0	2	0	0	0	0	0	4	1	3	0	0
WA_MAG_00033	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	5	1	0	0	0
WA_MAG_00034	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	3	1	2	0	0
WA_MAG_00035	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	2	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	2	0	1	0	0	0	0	0	2	1	1	0	0
WA_MAG_00036	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	2	1	1	0	1	0	1	2	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	0
WA_MAG_00037	0	0	1	2	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	1	0	2	0	0	0	3	1	2	0	0
WA_MAG_00038	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	0
WA_MAG_00039	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	2	1	2	0	0
WA_MAG_00040	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	2	2	1	0	0
WA_MAG_00041	1	1	1	2	0	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	0	1	1	1	0	1	1	1	2	1
WA_MAG_00042	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	2	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	2	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	2	1	1	0	0
WA_MAG_00043	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	2	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	2	0	0	1	0	1	0	0	0	0	1	1	0	1	2	1	0	1	0	0	0	0	0	3	1	1	0	0
WA_MAG_00044	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	2	0	0	0	2	1	3	0	0
WA_MAG_00045	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	2	1	1	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0
WA_MAG_00046	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	2	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	0	1	3	1	0	1	1	1	2	1	1
WA_MAG_00047	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	2	0	1	1
WA_MAG_00048	1	1	1	1	1	1	1	1	1	2	0	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	2	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1	1
WA_MAG_00049	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	2	1	2	0	0
WA_MAG_00050	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	2	1	2	0	0
WA_MAG_00051	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	2	0	1	1	0	2	1	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	2	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	3	1	1	0	0
WA_MAG_00052	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	2	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	2	1	0	0	0
WA_MAG_00053	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	3	0	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	2	1	1	0	0
WA_MAG_00054	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	2	0	1	1	1	0	0	2	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	1	2	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	3	2	2	0	0
WA_MAG_00055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	2	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	2	1	0	0
WA_MAG_00056	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	3	1	2	0	0
WA_MAG_00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	2	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	2	2	1	1	0	2	0	2	0	0	0	0	2	1	0	0	0	1	0	1	0	2	0	0	0	3	1	1	0	0
WA_MAG_00058	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	2	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	3	0	0
WA_MAG_00059	1	1	0	1	1	1	1	1	1	1	0	1	1	2	1	2	0	2	2	1	0	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1
WA_MAG_00060	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	2	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0
WA_MAG_00061	1	1	0	1	1	1	1	1	1	0	1	1	2	1	1	1	0	1	1	2	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	2	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	2	1	1	1	1	1	1	0	1	2	1	0	0	0	1	1	1	1
WA_MAG_00062	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	2	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	2	1	1	2	0	1	0
WA_MAG_00063	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	2	1	1	0	0
WA_MAG_00064	1	1	1	0	2	1	1	1	1	1	0	1	1	1	1	0	0	2	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	2	1	1	1	1	1	0	1	1	1	1	1	2	1	0	1	0	1	1	1	2	0	2	0	1	1	1	1	1	1	1	1	1	1
WA_MAG_00065	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1
WA_MAG_00066	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	1	2	0	0
WA_MAG_00067	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1
WA_MAG_00068	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	2	2	2	0	0
