genes	accession	pfam_link	Archaea_76	Bacteria_71	GTDB_Taxonomy
Ribonuclease_P	PF00825.18	https://pfam.xfam.org/family/PF00825.18	NA	yes	NA
Ribosomal_L2	PF00181.23	https://pfam.xfam.org/family/PF00181.23	NA	yes	yes
Ribosomal_L17	PF01196.19	https://pfam.xfam.org/family/PF01196.19	NA	yes	yes
Ribosomal_L18p	PF00861.22	https://pfam.xfam.org/family/PF00861.22	NA	yes	NA
Ribosomal_L19	PF01245.20	https://pfam.xfam.org/family/PF01245.20	NA	yes	NA
Ribosomal_L20	PF00453.18	https://pfam.xfam.org/family/PF00453.18	NA	yes	yes
Ribosomal_L21p	PF00829.21	https://pfam.xfam.org/family/PF00829.21	NA	yes	yes
ribosomal_L24	PF17136.4	https://pfam.xfam.org/family/PF17136.4	NA	yes	yes
Ribosomal_L27	PF01016.19	https://pfam.xfam.org/family/PF01016.19	NA	yes	NA
Ribosomal_L27A	PF00828.19	https://pfam.xfam.org/family/PF00828.19	NA	yes	yes
Ribosomal_L28	PF00830.19	https://pfam.xfam.org/family/PF00830.19	NA	yes	NA
Ribosomal_L32p	PF01783.23	https://pfam.xfam.org/family/PF01783.23	NA	yes	NA
Ribosomal_L35p	PF01632.19	https://pfam.xfam.org/family/PF01632.19	NA	yes	NA
Ribosomal_L5	PF00281.19	https://pfam.xfam.org/family/PF00281.19	NA	yes	NA
Ribosomal_L9_C	PF03948.14	https://pfam.xfam.org/family/PF03948.14	NA	yes	yes
Ribosomal_S10	PF00338.22	https://pfam.xfam.org/family/PF00338.22	NA	yes	NA
Ribosomal_S16	PF00886.19	https://pfam.xfam.org/family/PF00886.19	NA	yes	NA
Ribosomal_S3_C	PF00189.20	https://pfam.xfam.org/family/PF00189.20	NA	yes	yes
Ribosomal_S6	PF01250.17	https://pfam.xfam.org/family/PF01250.17	NA	yes	yes
Ribosomal_S20p	PF01649.18	https://pfam.xfam.org/family/PF01649.18	NA	yes	yes
RNA_pol_L	PF01193.24	https://pfam.xfam.org/family/PF01193.24	NA	yes	NA
RRF	PF01765.19	https://pfam.xfam.org/family/PF01765.19	NA	yes	NA
RsfS	PF02410.15	https://pfam.xfam.org/family/PF02410.15	NA	yes	NA
RuvX	PF03652.15	https://pfam.xfam.org/family/PF03652.15	NA	yes	NA
SecE	PF00584.20	https://pfam.xfam.org/family/PF00584.20	NA	yes	NA
SecG	PF03840.14	https://pfam.xfam.org/family/PF03840.14	NA	yes	NA
SmpB	PF01668.18	https://pfam.xfam.org/family/PF01668.18	NA	yes	NA
tRNA_m1G_MT	PF01746.21	https://pfam.xfam.org/family/PF01746.21	NA	yes	NA
TsaE	PF02367.17	https://pfam.xfam.org/family/PF02367.17	NA	yes	NA
UPF0054	PF02130.17	https://pfam.xfam.org/family/PF02130.17	NA	yes	NA
YajC	PF02699.15	https://pfam.xfam.org/family/PF02699.15	NA	yes	NA
